Sales_Volume,Product_Cost,Revenue,Total_Costs,Profit
311.36,19.47,15568.15,11060.91,4507.24
306.02,20.88,15301.04,11389.93,3911.11
239.10,18.96,11954.89,9532.83,2422.06
186.30,17.90,9315.15,8334.66,980.49
409.32,21.69,20466.03,13879.08,6586.95
410.74,19.79,20537.22,13129.90,7407.33
328.68,19.02,16433.80,11251.70,5182.10
264.69,20.08,13234.44,10315.95,2918.48
267.14,25.00,13357.15,11678.57,1678.57
351.93,22.31,17596.70,12850.59,4746.11
409.27,22.33,20463.71,14137.11,6326.60
404.96,20.87,20247.87,13451.90,6795.97
367.30,20.33,18364.87,12468.25,5896.63
330.77,15.21,16538.70,10030.36,6508.34
182.04,18.64,9102.19,8393.67,708.52
213.71,19.04,10685.57,9068.82,1616.75
409.91,16.25,20495.65,11661.17,8834.48
322.56,17.69,16127.90,10704.49,5423.41
127.12,16.04,6356.25,7038.87,-682.62
190.10,19.92,9504.92,8787.40,717.52
335.93,21.64,16796.36,12268.64,4527.73
120.12,22.21,6006.14,7668.35,-1662.21
213.42,20.83,10671.12,9445.50,1225.62
310.00,18.07,15499.83,10602.63,4897.20
343.00,16.14,17150.10,10534.63,6615.46
333.14,16.49,16656.87,10492.19,6164.68
233.95,17.46,11697.30,9085.17,2612.13
348.26,18.22,17412.90,11346.05,6066.84
237.77,19.68,11888.38,9679.39,2209.00
261.34,17.97,13067.21,9696.79,3370.42
357.59,20.68,17879.49,12394.22,5485.26
332.58,19.54,16629.01,11497.11,5131.91
390.17,20.02,19508.61,12811.67,6696.94
334.50,22.28,16724.89,12452.78,4272.11
314.16,17.64,15708.16,10541.69,5166.47
186.57,20.84,9328.39,8887.59,440.80
271.51,19.97,13575.73,10422.70,3153.03
245.66,19.33,12282.89,9749.31,2533.58
239.71,21.77,11985.55,10218.63,1766.92
453.53,21.76,22676.66,14867.99,7808.67
277.34,18.11,13866.77,10021.72,3845.05
407.07,19.64,20353.42,12993.07,7360.36
328.22,20.56,16410.92,11748.97,4661.96
371.88,19.45,18593.93,12234.52,6359.41
300.53,21.17,15026.41,11362.19,3664.21
316.02,20.56,15801.13,11498.18,4302.95
298.50,23.67,14924.89,12063.99,2860.91
224.98,16.94,11248.89,8811.00,2437.89
350.99,19.76,17549.53,11933.86,5615.66
249.87,18.18,12493.63,9543.43,2950.20
144.11,21.21,7205.26,8056.22,-850.95
331.59,16.77,16579.46,10559.31,6020.15
219.03,20.69,10951.65,9532.37,1419.28
430.98,18.74,21549.16,13076.58,8472.58
439.29,18.53,21964.50,13140.78,8823.72
417.47,17.11,20873.61,12141.70,8731.91
272.08,19.07,13604.17,10188.59,3415.58
135.16,22.17,6758.22,7996.46,-1238.24
424.27,19.95,21213.67,13464.09,7749.58
285.08,21.26,14254.02,11059.49,3194.53
448.35,23.33,22417.55,15459.71,6957.84
446.05,20.53,22302.59,14156.33,8146.26
391.56,18.88,19578.00,12393.59,7184.41
253.48,20.93,12673.97,10306.46,2367.50
275.52,18.91,13776.08,10210.50,3565.58
390.87,18.99,19543.57,12423.10,7120.47
259.23,16.96,12961.43,9396.57,3564.86
216.44,21.85,10822.25,9729.87,1092.38
311.70,19.23,15585.13,10993.42,4591.71
428.53,20.36,21426.62,13726.72,7699.90
344.06,17.93,17202.95,11168.31,6034.63
314.54,20.87,15727.04,11565.06,4161.98
188.17,18.48,9408.55,8476.67,931.88
324.50,19.72,16225.12,11398.08,4827.04
471.79,21.76,23589.60,15264.14,8325.46
205.86,21.58,10293.09,9442.81,850.28
303.70,19.96,15185.01,11060.62,4124.39
400.95,16.46,20047.69,11601.20,8446.49
355.99,25.00,17799.56,13899.78,3899.78
344.31,23.49,17215.60,13088.48,4127.12
345.72,21.45,17286.17,12414.16,4872.01
269.59,18.49,13479.28,9985.61,3493.68
253.26,19.77,12662.79,10007.58,2655.21
376.50,18.91,18825.23,12120.89,6704.34
376.75,22.53,18837.43,13487.28,5350.14
396.88,20.53,19843.88,13145.92,6697.97
416.69,18.43,20834.44,12680.27,8154.17
302.28,19.06,15114.07,10761.03,4353.05
300.30,22.24,15015.17,11679.46,3335.71
372.97,23.20,18648.55,13653.00,4995.55
332.66,23.06,16632.97,12670.02,3962.95
345.59,21.51,17279.47,12435.03,4844.44
372.19,19.49,18609.27,12255.66,6353.61
406.19,15.00,20309.70,11092.91,9216.79
264.44,20.59,13221.86,10445.91,2775.96
273.34,20.00,13666.98,10465.79,3201.19
186.71,20.28,9335.48,8786.46,549.02
316.32,20.11,15816.10,11360.54,4455.56
153.62,17.35,7681.13,7664.96,16.17
293.00,21.11,14649.85,11186.58,3463.27
308.72,21.26,15435.95,11564.73,3871.22
251.40,21.36,12570.22,10371.17,2199.05
319.08,21.89,15953.82,11985.59,3968.23
149.40,21.21,7469.83,8168.42,-698.59
154.66,19.18,7733.06,7966.39,-233.33
380.87,19.86,19043.50,12563.44,6480.06
269.75,20.18,13487.53,10444.17,3043.35
200.82,20.22,10041.04,9059.67,981.37
304.50,22.00,15224.96,11697.90,3527.06
364.35,21.29,18217.57,12756.07,5461.50
231.40,24.15,11569.95,10589.37,980.58
326.31,24.41,16315.42,12966.15,3349.27
182.63,20.16,9131.52,8681.70,449.82
164.30,15.00,8215.02,7464.51,750.51
306.37,22.47,15318.62,11885.31,3433.31
308.30,18.92,15414.96,10832.79,4582.17
329.69,18.40,16484.48,11065.31,5419.17
351.97,19.20,17598.53,11758.93,5839.60
456.05,19.11,22802.37,13713.57,9088.80
303.29,21.22,15164.35,11437.13,3727.23
260.74,16.88,13036.87,9401.54,3635.33
372.00,17.84,18599.78,11638.10,6961.69
247.20,20.69,12359.79,10113.57,2246.22
287.40,21.25,14369.86,11106.01,3263.85
179.22,21.28,8961.22,8814.45,146.77
145.03,18.43,7251.70,7672.39,-420.69
445.34,18.04,22266.81,13035.41,9231.40
385.45,18.99,19272.52,12318.44,6954.08
344.04,20.48,17202.23,12045.95,5156.29
280.88,22.97,14043.81,11452.00,2591.82
217.74,15.91,10887.18,8463.24,2423.94
211.87,19.56,10593.51,9143.87,1449.64
241.49,17.33,12074.50,9186.14,2888.36
310.10,16.70,15505.02,10177.29,5327.73
348.90,21.93,17444.82,12652.66,4792.15
335.12,21.09,16756.18,12067.51,4688.68
249.65,20.90,12482.43,10217.37,2265.06
439.91,21.84,21995.51,14608.54,7386.97
355.20,19.04,17759.79,11763.13,5996.66
311.18,19.13,15559.17,10954.41,4604.76
323.75,24.37,16187.74,12890.38,3297.36
283.22,19.51,14160.79,10524.65,3636.14
240.78,21.47,12038.91,10169.57,1869.34
268.75,20.01,13437.69,10378.50,3059.18
360.82,16.30,18040.78,10882.55,7158.23
133.93,15.91,6696.67,7130.98,-434.31
196.36,18.84,9818.15,8699.88,1118.27
160.66,22.11,8033.24,8552.65,-519.41
157.08,21.58,7854.08,8389.28,-535.21
392.47,21.83,19623.39,13566.85,6056.55
346.03,18.03,17301.40,11237.47,6063.93
294.77,23.23,14738.31,11847.94,2890.38
188.47,18.07,9423.44,8405.67,1017.77
298.32,20.43,14915.80,11093.30,3822.50
294.62,19.98,14731.10,10886.34,3844.76
217.71,19.65,10885.61,9278.53,1607.07
286.30,22.68,14315.06,11492.50,2822.55
278.55,18.59,13927.54,10178.20,3749.34
324.69,17.30,16234.73,10617.47,5617.26
329.14,20.04,16457.09,11596.00,4861.09
160.20,19.20,8010.12,8075.94,-65.82
273.12,25.00,13655.78,11827.89,1827.89
326.99,21.35,16349.68,11982.30,4367.38
300.63,19.18,15031.41,10766.45,4264.97
392.85,17.89,19642.57,12027.24,7615.33
334.76,16.24,16737.96,10436.30,6301.66
214.17,17.95,10708.49,8844.25,1864.24
175.14,20.23,8756.83,8542.99,213.84
330.87,22.85,16543.28,12561.82,3981.46
146.05,22.24,7302.66,8248.72,-946.05
317.96,20.46,15898.08,11504.92,4393.16
430.85,19.35,21542.55,13338.55,8204.01
315.71,20.54,15785.60,11483.97,4301.63
276.22,18.96,13811.01,10237.89,3573.13
331.07,23.44,16553.56,12759.23,3794.33
291.47,19.62,14573.43,10719.09,3854.34
309.34,19.83,15467.08,11133.41,4333.66
431.57,15.57,21578.45,11718.82,9859.63
275.75,19.61,13787.52,10407.23,3380.30
444.28,21.67,22213.98,14628.86,7585.12
412.98,17.86,20649.15,12377.76,8271.39
225.15,18.50,11257.65,9165.01,2092.65
174.49,21.59,8724.55,8766.46,-41.91
189.79,17.05,9489.50,8235.29,1254.21
138.18,22.12,6909.02,8055.94,-1146.92
186.92,18.94,9346.10,8539.50,806.60
340.75,19.22,17037.67,11550.26,5487.42
175.47,17.75,8773.29,8114.91,658.38
259.74,20.76,12987.19,10391.26,2595.92
388.60,24.92,19430.00,14683.81,4746.19
143.15,21.56,7157.40,8086.70,-929.30
378.17,18.27,18908.51,11909.71,6998.80
250.16,22.27,12508.06,10571.40,1936.66
197.23,19.37,9861.37,8819.63,1041.74
344.24,22.75,17212.02,12831.12,4380.91
327.71,21.61,16385.39,12082.87,4302.53
400.99,15.00,20049.69,11014.91,9034.78
354.42,17.99,17720.87,11376.62,6344.25
374.61,21.89,18730.72,13199.85,5530.87
250.21,20.30,12510.45,10080.07,2430.38
219.14,17.95,10957.17,8934.17,2023.00
358.75,18.73,17937.63,11720.45,6217.18
375.69,16.19,18784.45,11081.48,7702.97
472.44,19.82,23621.97,14365.29,9256.68
281.68,24.42,14084.25,11879.13,2205.11
272.52,21.61,13625.75,10889.01,2736.74
366.26,24.38,18312.89,13929.67,4383.22
265.12,21.76,13255.95,10770.26,2485.69
425.57,22.05,21278.64,14385.99,6892.65
393.57,23.95,19678.59,14425.32,5253.27
285.26,20.75,14262.76,10920.34,3342.43
358.83,19.63,17941.26,12042.14,5899.12
359.87,22.07,17993.47,12940.63,5052.84
190.83,22.91,9541.45,9371.45,170.00
411.71,19.04,20585.32,12838.92,7746.40
301.05,18.56,15052.66,10586.60,4466.06
382.17,20.28,19108.61,12749.58,6359.03
260.01,21.66,13000.62,10632.65,2367.97
408.58,21.60,20428.86,13823.71,6605.15
276.45,17.15,13822.72,9741.65,4081.06
129.45,23.82,6472.25,8083.80,-1611.54
413.00,18.72,20649.87,12730.35,7919.52
185.46,19.47,9272.86,8610.83,662.03
259.83,18.19,12991.42,9727.50,3263.92
436.79,25.00,21839.68,15919.84,5919.84
437.14,20.48,21856.98,13954.43,7902.55
315.27,18.30,15763.53,10768.84,4994.69
328.38,21.73,16419.06,12135.02,4284.04
289.41,21.54,14470.43,11233.36,3237.07
253.16,19.62,12657.82,9968.08,2689.74
262.15,21.68,13107.58,10683.77,2423.82
338.14,18.35,16907.02,11204.68,5702.34
359.25,19.01,17962.59,11830.87,6131.72
370.87,15.98,18543.67,10926.40,7617.27
370.27,17.35,18513.37,11424.92,7088.45
185.42,23.62,9270.97,9378.73,-107.76
298.88,23.28,14944.05,11958.80,2985.24
167.86,20.13,8392.90,8379.25,13.65
310.16,23.33,15508.20,12234.84,3273.36
287.94,19.68,14397.13,10666.67,3730.46
405.22,19.51,20260.89,12907.09,7353.80
267.55,20.11,13377.53,10381.25,2996.28
196.77,19.75,9838.74,8886.33,952.41
206.95,19.57,10347.74,9050.02,1297.72
361.87,22.29,18093.64,13064.98,5028.65
325.24,20.30,16261.79,11602.37,4659.41
189.94,21.42,9497.17,9069.53,427.64
182.03,22.06,9101.39,9016.03,85.35
345.33,20.78,17266.55,12174.73,5091.83
176.30,18.06,8814.79,8183.81,630.98
380.62,17.29,19031.08,11582.57,7448.51
346.70,20.30,17335.04,12037.18,5297.86
180.67,19.66,9033.58,8551.55,482.03
182.38,20.17,9119.17,8679.54,439.62
467.31,19.97,23365.35,14331.14,9034.21
273.04,25.00,13651.83,11825.91,1825.91
272.20,17.34,13609.79,9719.75,3890.04
377.62,16.02,18881.17,11049.57,7831.60
435.04,20.66,21751.88,13989.94,7761.94
466.53,19.25,23326.74,13979.47,9347.27
359.54,20.63,17976.87,12418.02,5558.85
273.50,21.17,13674.79,10789.29,2885.49
181.73,22.57,9086.58,9101.36,-14.78
366.48,16.99,18323.88,11224.82,7099.06
312.04,18.89,15602.17,10893.43,4708.74
284.22,20.86,14211.10,10928.17,3282.93
413.45,21.54,20672.28,13906.00,6766.28
194.32,24.39,9715.88,9738.80,-22.93
298.52,21.91,14925.98,11540.98,3384.99
130.14,19.89,6506.89,7587.98,-1081.08
293.63,18.22,14681.54,10349.70,4331.84
167.11,18.87,8355.69,8153.67,202.02
197.50,18.81,9874.79,8715.80,1158.99
196.96,21.31,9848.22,9197.40,650.82
332.48,20.51,16623.97,11820.48,4803.49
357.46,17.35,17873.22,11202.97,6670.25
317.43,19.13,15871.68,11071.93,4799.75
444.99,21.76,22249.46,14680.78,7568.68
273.18,20.70,13658.76,10655.63,3003.12
251.19,21.14,12559.26,10309.37,2249.89
397.47,20.77,19873.58,13253.83,6619.75
233.74,23.25,11687.24,10435.24,1252.00
445.76,20.47,22287.90,14125.60,8162.30
131.18,19.23,6559.13,7522.37,-963.24
450.91,18.17,22545.57,13192.38,9353.19
158.76,20.50,7938.02,8254.47,-316.44
406.68,15.12,20334.02,11148.43,9185.58
305.62,19.63,15280.96,10999.74,4281.22
476.28,19.59,23813.81,14329.45,9484.36
176.84,17.27,8841.79,8054.14,787.65
311.08,18.14,15553.88,10644.03,4909.85
450.44,21.62,22522.20,14738.29,7783.91
304.67,20.46,15233.71,11234.07,3999.64
327.81,20.20,16390.69,11623.01,4767.68
343.99,20.61,17199.34,12090.50,5108.85
290.69,20.19,14534.58,10867.68,3666.90
327.39,22.49,16369.33,12361.53,4007.81
317.64,20.25,15882.04,11431.23,4450.81
411.08,17.08,20553.83,12022.66,8531.17
160.30,23.26,8014.84,8728.55,-713.70
249.92,20.74,12496.17,10183.58,2312.59
437.02,18.82,21850.76,13225.28,8625.48
406.30,17.49,20315.21,12107.56,8207.65
290.93,20.79,14546.27,11048.87,3497.40
325.67,19.77,16283.72,11437.17,4846.55
248.96,23.15,12448.24,10763.11,1685.13
222.68,19.31,11133.86,9299.49,1834.37
292.60,18.33,14630.14,10362.02,4268.13
268.13,21.79,13406.57,10843.01,2563.56
317.50,21.85,15874.83,11937.48,3937.35
178.86,20.34,8942.96,8637.51,305.45
454.74,21.35,22737.03,14709.95,8027.08
466.79,19.92,23339.32,14300.55,9038.78
344.61,20.47,17230.34,12053.32,5177.02
307.35,22.33,15367.72,11863.22,3504.50
257.36,21.25,12868.01,10469.07,2398.94
377.95,19.66,18897.46,12431.03,6466.43
341.19,22.70,17059.36,12746.56,4312.80
214.06,15.27,10702.93,8268.74,2434.19
415.59,24.10,20779.27,15017.33,5761.94
380.85,16.59,19042.44,11317.55,7724.89
436.63,18.75,21831.40,13184.95,8646.45
351.87,19.92,17593.51,12008.61,5584.90
324.14,19.71,16206.99,11387.84,4819.16
282.92,22.01,14145.96,11227.85,2918.11
426.64,17.88,21331.99,12630.17,8701.82
396.49,20.52,19824.36,13136.53,6687.84
160.15,18.84,8007.28,8017.72,-10.44
145.93,20.59,7296.39,8004.69,-708.31
273.54,19.87,13677.14,10435.42,3241.72
376.89,20.19,18844.57,12607.88,6236.69
468.10,18.90,23404.77,13847.07,9557.69
209.70,18.98,10484.83,8980.02,1504.82
319.81,20.57,15990.35,11579.88,4410.46
274.56,21.89,13728.01,11009.42,2718.59
450.94,18.80,22547.02,13479.23,9067.79
387.61,18.26,19380.73,12078.80,7301.93
386.27,21.23,19313.68,13199.40,6114.28
293.64,19.93,14681.87,10853.66,3828.21
282.17,21.66,14108.45,11112.06,2996.39
247.89,18.19,12394.69,9508.79,2885.90
167.16,16.44,8357.84,7748.25,609.60
395.97,18.93,19798.51,12497.30,7301.21
377.66,18.47,18882.83,11974.29,6908.53
495.25,19.84,24762.38,14826.91,9935.46
483.60,18.73,24179.86,14055.99,10123.87
311.41,21.48,15570.60,11689.76,3880.83
364.06,19.42,18202.76,12071.30,6131.46
433.53,20.30,21676.32,13801.00,7875.32
390.33,20.32,19516.34,12929.59,6586.75
240.67,20.39,12033.46,9907.23,2126.24
289.85,19.95,14492.57,10783.04,3709.53
201.65,21.02,10082.51,9238.93,843.58
439.37,18.41,21968.53,13088.24,8880.29
322.50,22.80,16125.03,12352.64,3772.39
235.25,19.53,11762.29,9593.63,2168.66
337.94,17.38,16896.92,10872.32,6024.60
325.22,20.38,16260.76,11626.63,4634.13
269.27,18.30,13463.60,9927.04,3536.56
195.31,21.33,9765.66,9166.16,599.50
337.91,24.42,16895.35,13251.42,3643.93
304.10,18.43,15205.18,10603.67,4601.51
365.04,20.66,18251.94,12543.43,5708.51
304.07,16.49,15203.71,10013.88,5189.83
391.25,20.91,19562.75,13180.28,6382.46
310.67,18.23,15533.29,10662.99,4870.29
312.58,18.75,15629.17,10861.04,4768.13
400.66,17.80,20033.18,12130.78,7902.40
279.66,21.46,13983.13,11002.76,2980.37
203.54,22.01,10177.17,9480.93,696.24
147.99,20.05,7399.28,7966.63,-567.35
360.04,18.27,18001.96,11578.33,6423.63
325.72,23.18,16285.75,12549.76,3735.99
346.14,18.50,17306.88,11403.26,5903.62
230.53,15.68,11526.32,8613.72,2912.60
204.45,20.92,10222.48,9276.43,946.05
134.11,17.79,6705.56,7385.90,-680.34
267.47,21.98,13373.62,10878.30,2495.32
318.87,19.24,15943.71,11134.41,4809.29
277.14,21.21,13857.13,10877.48,2979.65
287.08,22.80,14353.88,11546.23,2807.65
412.44,17.58,20621.84,12251.58,8370.26
266.91,18.87,13345.72,10036.18,3309.55
302.82,19.85,15140.89,11010.53,4130.36
368.44,23.08,18422.05,13501.81,4920.24
278.11,18.68,13905.54,10196.01,3709.53
326.12,18.81,16306.17,11134.71,5171.47
395.07,20.96,19753.36,13279.14,6474.22
436.45,18.85,21822.60,13225.17,8597.42
208.47,20.31,10423.53,9233.01,1190.52
423.36,16.90,21168.23,12153.56,9014.67
298.42,24.43,14920.85,12289.93,2630.92
243.73,17.30,12186.72,9217.72,2969.00
291.65,19.36,14582.65,10645.38,3937.27
460.03,19.94,23001.63,14170.77,8830.86
298.52,23.83,14925.91,12112.31,2813.60
262.17,17.35,13108.66,9548.78,3559.87
328.75,23.97,16437.30,12879.19,3558.11
238.61,21.51,11930.30,10133.46,1796.85
177.90,20.83,8895.21,8706.49,188.72
201.54,18.03,10077.00,8633.91,1443.09
201.21,21.14,10060.55,9254.06,806.49
210.24,18.55,10511.85,8900.53,1611.32
205.39,22.53,10269.29,9628.03,641.27
330.50,18.06,16525.03,10968.14,5556.89
220.63,19.77,11031.25,9362.57,1668.68
266.29,18.89,13314.65,10030.13,3284.52
409.13,18.02,20456.62,12374.59,8082.03
294.72,21.48,14736.14,11331.42,3404.71
336.92,21.07,16845.95,12099.19,4746.76
217.41,22.42,10870.60,9873.95,996.65
224.03,16.44,11201.44,8683.09,2518.35
157.18,22.13,7858.97,8478.12,-619.15
216.25,25.00,10812.66,10406.33,406.33
249.29,19.10,12464.45,9760.60,2703.85
219.00,23.79,10949.97,10210.06,739.91
184.24,19.47,9211.95,8587.81,624.14
198.24,17.26,9911.94,8420.65,1491.30
292.00,19.39,14599.78,10661.42,3938.35
228.48,22.10,11423.92,10048.55,1375.37
270.71,18.32,13535.45,9960.38,3575.08
